Etikett:;Liedtitel:;Komponist:;Nummer:;letzte Auff�hrung:;;
Weihnachtliche Chorliteratur ;Es war ein Tag der gro�en Wende�.;Klaus Heizmann;Blau 71;Dezember 18;;
Weihnachtliche Chorliteratur ;Es wird sschon gleich dunkel�..;;Blau 80;;;
Weihnachtliche Chorliteratur ;Fa la la la  .... Zu Bethlem �berm Stall...;Manfred B�hler;Blau 46;;;
Weltliche Chorliteratur;Fahren wir froh im Nachen;Giovanni Gastoldi;Rosa 33;;;
Weltliche Chorliteratur;Fein sein beinander bleibn..;;Rosa 115;;;
Weltliche Chorliteratur;Fischerweise (Den Fischer fechten..)2011;Franz Schubert;Rosa 34;;;
Weihnachtliche Chorliteratur ;Folgen wir den Hirten        2019;;Blau 69;Dezember 19;;
Weltliche Chorliteratur;Freude sch�ner G�tterfunken...(2009);L.v.Beethoven;Rosa 35;;;
Weihnachtliche Chorliteratur ;Freuet euch all der Herr ist da....;G.F. H�ndel;Blau 12;Dezember 24;;
Weihnachtliche Chorliteratur ;Friede auf Erden;M.B�hler;Blau 82;Dezember 23;;
Geistliche Chorliteratur;Frieden, Frieden sei dieser Welt;;Gelb 06;;;
Weihnachtliche Chorliteratur ;Fum,fum,fum�����2019;;Blau 68;Dezember 19;;
Weltliche Chorliteratur;Geburtstagsst�ndchen;Richard Burynski;Rosa 36;;;
Weltliche Chorliteratur;GefangenenChor;Hermann Ophoven;Extrabox;;;
Weltliche Chorliteratur;Gefangenenchor (Fern der Heimat ...);Herm Ophoven;Rosa 37;;;
Weihnachtliche Chorliteratur ;Geh ruf es auf dem Berge......;;Blau 58;;;
Weihnachtliche Chorliteratur ;Gesang der Engel�. 2019;;Blau 66;Dezember 19;;
Weltliche Chorliteratur;Giv Thanks�.;Henry Smith;Rosa 101;;;
Geistliche Chorliteratur;Glaube hei�t nicht alles sehn;;Gelb 07;;;
Geistliche Chorliteratur;Glaube und Zuversicht�;Manfred B�hler;Gelb 08;;;
Weihnachtliche Chorliteratur ;Gloria in excelsis Deo. (Engel haben Himmelslieder);Erno Seifriz;Blau 13;Dezember 24;;
Weltliche Chorliteratur;Glory Halejuja;Gerd Onnen;Rosa 26;;;
Weltliche Chorliteratur;Gl�ckwunsch   Viel Gl�ck und viel Segen;Walter Schmid;Rosa 38;;;
Weihnachtliche Chorliteratur ;Go tell it on the mountain   ;Mathias Michel;Blau 14;Dezember 22;;
Weltliche Chorliteratur;Greensleeves    2016;Fred Schecher;Rosa 40;;;
Geistliche Chorliteratur;Gro�er Gott wir loben dich;Josef Haydn;Gelb 09;;;
Weltliche Chorliteratur;Guten Abend, Gut Nacht;Joh. Brahms;Rosa 39;;;
Weltliche Chorliteratur;Haleluja sing ein Lied�;Arr.K.H.Durban;Rosa 142;;;
Weihnachtliche Chorliteratur ;Halleluja; Leonhard Cohen;Blau 88;Dezember 24;;
Geistliche Chorliteratur;Harre meine Seele;;Gelb 10;;;
Weihnachtliche Chorliteratur ;Hebe deine Augen.. auf zu den Bergen-..(2005);;Blau 15;;;
Weihnachtliche Chorliteratur ;Heilig,Heilig, heiliges Paar�.2019;;Blau 62;Dezember 19;;
Weihnachtliche Chorliteratur ;Heilige Nacht, heilige Nacht..;Jo.Fr.Reichhardt;Blau 16;Dezember 23;;
Weihnachtliche Chorliteratur ;Heiligste Nacht,heiligste Nacht....;Roman Zybal;Blau 50;Dezember 17;;
Weihnachtliche Chorliteratur ;Herbei o ihr Gla�bigen / Adeste fideles...;Manfred B�hler;Blau 18;;;
Weihnachtliche Chorliteratur ;Herbei o ihr Gl�ubigen...;Arnold Kempkens;Blau 17;Dezember 22;;
Weihnachtliche Chorliteratur ;Herbergslied;;Blau 74;Dezember 23;;
Geistliche Chorliteratur;Herr dich loben wir   Ambrosianischer Lobgesang;;Gelb 11;Dezember 18;;
Geistliche Chorliteratur;Herr Gott dich loben wir�;Wolfgang A.Mozart;Gelb 13;Dezember 24;;
Geistliche Chorliteratur;Herr vor dem wir stehen;Edward Elgar;Gelb 14;Dezember 24;;
Geistliche Chorliteratur;Herr wir bitten komm und segne uns;;Gelb 12;;;
Weihnachtliche Chorliteratur ;Heut ist Weihnachtstag...;Michael Schmoll;Blau 54;;;
Weltliche Chorliteratur;Heute an Bord....   2016;Kurt Christoph;Rosa 41;;;
Weihnachtliche Chorliteratur ;Hoch tut euch auf ihr Tore der Welt...;G:W: Gluck;Blau 19;Dezember 16;;
Weihnachtliche Chorliteratur ;Hodie natus est�;Feltz;Blau 79;;;
Weltliche Chorliteratur;Horch die Wellen--- Vesperchor;Ch. Moore;Rosa 42;;;
Weihnachtliche Chorliteratur ;Horch wie hell die die Glocken klingen;Mendelsohn;Blau 75;Dezember 21;;
Weihnachtliche Chorliteratur ;Hosianna dem Sohn David...(2011);Klaus Heizmann;Blau 20;Dezember 16;;
Geistliche Chorliteratur;Geistliche Chorliteratur;Willy Trapp;Gelb 15;Dezember 17;;
Weltliche Chorliteratur;I am Sailing (2018);;Rosa 109;Juli 24;;
Weltliche Chorliteratur;Ich bete an die Macht der Liebe;Manfred B�hler;Rosa 50;;;
Weihnachtliche Chorliteratur ;Ich steh an deiner Krippen hier...(2005);Joh.Seb. Bach;Blau 21;Dezember 21;;
Weltliche Chorliteratur;Im Abendrot  (O wie sch�n ist deine Welt);Franz Schubert;Rosa 44;;;
Weltliche Chorliteratur;Im Krug zum gr�nen Kranze;Hans Schmidt;Rosa 45;;;
